                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1882,                 4.1397,                  1.259,                0.75736,                0.07255,                0.05555,                0.02796,                 2.2615,                 3.2037,                 1.1327,             0.00019385,             0.00019385,             0.00019385
                      2,                 2.2646,                 3.0913,                 1.1326,                0.64655,                0.10416,                0.08891,                0.04844,                 2.1553,                 2.5608,                 1.1066,             0.00038792,             0.00038792,             0.00038792
                      3,                 2.1928,                 2.5905,                 1.1045,                0.35005,                0.14135,                0.10269,                0.05465,                 2.1289,                 2.2894,                 1.0886,             0.00058005,             0.00058005,             0.00058005
                      4,                 2.1038,                 2.2828,                 1.0867,                0.59673,                0.15277,                0.13182,                0.07194,                 1.9965,                 2.1322,                  1.074,             0.00057927,             0.00057927,             0.00057927
                      5,                 2.0702,                 2.1262,                 1.0775,                0.61164,                0.16319,                0.15686,                0.09138,                  1.956,                 1.8971,                  1.062,             0.00057927,             0.00057927,             0.00057927
                      6,                 2.0803,                 2.0621,                 1.0619,                0.23301,                0.22271,                0.16258,                0.09662,                 1.9548,                   1.86,                 1.0485,             0.00057636,             0.00057636,             0.00057636
                      7,                 2.0239,                 1.9699,                 1.0592,                0.53031,                0.24303,                0.21505,                0.12834,                 1.9389,                 1.7962,                 1.0434,             0.00057345,             0.00057345,             0.00057345
                      8,                 1.9841,                 1.8728,                 1.0457,                0.52717,                0.26414,                0.23677,                0.14508,                 1.8825,                 1.6894,                 1.0394,             0.00057054,             0.00057054,             0.00057054
                      9,                 1.9604,                  1.844,                 1.0465,                0.54867,                0.26709,                0.24641,                0.15525,                 1.8858,                 1.6852,                 1.0288,             0.00056763,             0.00056763,             0.00056763
                     10,                 1.9694,                 1.8278,                 1.0402,                0.51219,                0.25731,                0.23539,                 0.1436,                 1.8775,                 1.7049,                 1.0264,             0.00056472,             0.00056472,             0.00056472
                     11,                 1.8956,                 1.7552,                 1.0274,                0.59537,                0.28703,                0.25621,                0.16088,                 1.8608,                 1.6402,                 1.0245,              0.0005618,              0.0005618,              0.0005618
                     12,                 1.9377,                 1.7429,                 1.0303,                0.51183,                0.29341,                0.29218,                0.18013,                 1.8744,                 1.5777,                 1.0307,             0.00055889,             0.00055889,             0.00055889
                     13,                 1.8964,                 1.7287,                 1.0258,                0.51781,                0.32623,                0.30052,                0.18718,                  1.821,                 1.5642,                 1.0149,             0.00055598,             0.00055598,             0.00055598
                     14,                   1.85,                 1.6509,                 1.0178,                0.52623,                0.32501,                0.31495,                0.20357,                 1.7995,                 1.5413,                 1.0188,             0.00055307,             0.00055307,             0.00055307
                     15,                 1.8769,                 1.6482,                 1.0141,                0.63535,                0.30009,                0.33012,                 0.2136,                 1.7774,                  1.597,                 1.0135,             0.00055016,             0.00055016,             0.00055016
                     16,                 1.8485,                 1.6328,                 1.0093,                0.53966,                0.34823,                 0.3445,                0.22415,                 1.7466,                 1.4717,                 1.0013,             0.00054725,             0.00054725,             0.00054725
